NAME,TYPE,CODE,SELLING_PRICE,QUANTITY,SALECOUNT,TOTALSALE,COST_PRICE,PROFIT,RETURN_ITEMS
HTC U Ultra 64GB Handset (Cosmetic Pink),Mobile phone,1011001103,898,55,18,16164,682,3888,7
Oppo R9s Plus Handset (Gold),Mobile phone, CPH1611GOLD,698,31,18,12564,509,3402,0
Samsung Galaxy Note 5 32GB (Black),Mobile phone,1091002203,947,42,10,9470,665,2820,7
Canon EOS 1300D Digital SLR Camera (with 18-55mm Lens),Camera,1300DKB,499,58,34,16966,435,2176,8
Olympus OM-D E-M1 Mark II Digital SLR (Body Only),Camera,V207060BA000,2499,28,34,84966,1869,21420,0
Sony FDRAX53 4K Handycam w/ BOSS,Camera,FDRAX53,1099,34,20,21980,867,4640,7
Nikon Coolpix P900 16MP Digital Camera,Camera,DC-GX850KGNS,798,30,25,19950,685,2825,2
Canon Powershot G9 X Mark II 20.1MP Digital Camera (Silver),Camera,VNA750AC,749,41,31,23219,567,5642,6
Fujifilm Instax Mini 8 Instant Camera and Case (Grape),Camera,G9XIIS,548,53,16,8768,444,1664,8
Nikon D3400 24.2MP Digital SLR Camera w/ 18-55mm Lens Kit,Camera,84933,99,60,31,3069,89,310,5
GoPro Hero5 Black 4K Action Video Camera,Camera,791490,549,56,21,11529,410,2919,0
Panasonic Lumix DC-FZ80GN-K 18.1MP Ultra Zoom Digital Camera,Camera,GPCHDHX-501,548,20,33,18084,388,5280,5
Nikon Coolpix B700 20.3MP Ultra Zoom Digital Camera,Camera,DC-FZ80GN-K,598,53,25,14950,525,1825,7
"Mackie CR4 4"" Powered Studio Monitors",Audio,M-CR4,196,30,15,2940,142,810,4
Jaybird Freedom Wireless In-Ear Headphones (Carbon),Audio,F5-S-B-AP-ANZ,249,26,13,3237,191,754,1
AERPRO Multicolour LED 5M Strip Lighting,Audio,SMD5MC,28,24,25,700,25,75,3
Marley Smile Jamaica In-Ear Headphones (Copper),Audio,EMJE041CP,24.95,50,34,848.3,21,134.3,0
MXL Tempo SK USB Microphone (Silver),Audio,MXL-TEMPO SK,98,55,32,3136,78,640,2
JBL E55BT Over-Ear Wireless Headphones (Black),Audio,3378033,229,45,15,3435,184,675,3
Novation Launchpad Mini Music Creator,Audio,NOV-LPMIN,141,47,33,4653,102,1287,8
Beats Tour 2 Active In-Ear Headphones (Red),Audio,MKPV2PA/A,169,34,17,2873,148,357,4
Stadium USBMIC1 USB Studio Microphone,Audio,USBMIC1,78,41,30,2340,67,330,0
Rode NTUSB Microphone,Audio,NTUSB,168,23,12,2016,121,564,2
