NAME,TYPE,CODE,SELLING_PRICE,QUANTITY,SALECOUNT,TOTALSALE,COST_PRICE,PROFIT,RETURN_ITEMS
HTC U Ultra 64GB Handset (Cosmetic Pink),Mobile phone,1011001103,898,36,10,8980,682,2160,2
Oppo R9s Plus Handset (Gold),Mobile phone, CPH1611GOLD,698,31,12,8376,509,2268,1
Samsung Galaxy Note 5 32GB (Black),Mobile phone,1091002203,947,38,15,14205,665,4230,1
Canon EOS 1300D Digital SLR Camera (with 18-55mm Lens),Camera,1300DKB,499,34,17,8483,435,1088,4
Olympus OM-D E-M1 Mark II Digital SLR (Body Only),Camera,V207060BA000,2499,60,11,27489,1869,6930,1
Sony FDRAX53 4K Handycam w/ BOSS,Camera,FDRAX53,1099,44,17,18683,867,3944,4
Nikon Coolpix P900 16MP Digital Camera,Camera,DC-GX850KGNS,798,52,18,14364,685,2034,1
Canon Powershot G9 X Mark II 20.1MP Digital Camera (Silver),Camera,VNA750AC,749,42,16,11984,567,2912,5
Fujifilm Instax Mini 8 Instant Camera and Case (Grape),Camera,G9XIIS,548,49,19,10412,444,1976,3
Nikon D3400 24.2MP Digital SLR Camera w/ 18-55mm Lens Kit,Camera,84933,99,40,14,1386,89,140,4
GoPro Hero5 Black 4K Action Video Camera,Camera,791490,549,60,14,7686,410,1946,2
Panasonic Lumix DC-FZ80GN-K 18.1MP Ultra Zoom Digital Camera,Camera,GPCHDHX-501,548,58,11,6028,388,1760,5
Nikon Coolpix B700 20.3MP Ultra Zoom Digital Camera,Camera,DC-FZ80GN-K,598,60,12,7176,525,876,6
"Mackie CR4 4"" Powered Studio Monitors",Audio,M-CR4,196,37,12,2352,142,648,5
Jaybird Freedom Wireless In-Ear Headphones (Carbon),Audio,F5-S-B-AP-ANZ,249,45,18,4482,191,1044,6
AERPRO Multicolour LED 5M Strip Lighting,Audio,SMD5MC,28,58,18,504,25,54,1
Marley Smile Jamaica In-Ear Headphones (Copper),Audio,EMJE041CP,24.95,59,11,274.45,21,43.45,1
MXL Tempo SK USB Microphone (Silver),Audio,MXL-TEMPO SK,98,38,19,1862,78,380,2
JBL E55BT Over-Ear Wireless Headphones (Black),Audio,3378033,229,40,17,3893,184,765,2
Novation Launchpad Mini Music Creator,Audio,NOV-LPMIN,141,45,14,1974,102,546,3
Beats Tour 2 Active In-Ear Headphones (Red),Audio,MKPV2PA/A,169,35,19,3211,148,399,4
Stadium USBMIC1 USB Studio Microphone,Audio,USBMIC1,78,51,19,1482,67,209,5
Rode NTUSB Microphone,Audio,NTUSB,168,56,11,1848,121,517,5
